case_id,user_handle,visa_type,visa_entry,consulate,major,status,check_date,complete_date,waiting_days
841649,weikeng,B2,Renewal,HongKong,Computer Science,Clear,2024-12-02,2025-01-08,37
841650,幸运过过过,F1,Renewal,BeiJing,Aerospace,Pending,2024-12-02,0000-00-00,419
841664,xuanyue,H1,Renewal,Calgary,CS,Pending,2024-12-02,0000-00-00,419
841669,wen***@126.com,H4,New,BeiJing,CS,Clear,2024-12-02,2025-01-12,41
841668,放平心态祝,F1,Renewal,BeiJing,Environmental Engineering,Clear,2024-12-02,2025-01-21,50
841711,BACKTOUS,F1,Renewal,BeiJing,CS PhD,Clear,2024-12-02,2025-01-21,50
841749,顺顺利利,F1,Renewal,BeiJing,EE,Clear,2024-12-02,2025-01-16,45
841774,huaqiedward,H4,Renewal,BeiJing,Biology,Clear,2024-12-02,2025-01-07,36
841840,plutoyu,B1,New,Others,physics,Clear,2024-12-02,2024-12-31,29
841841,加油F1快通�,F1,Renewal,BeiJing,Biomedical PhD (OPT),Clear,2024-12-02,2025-01-13,42
841849,vvriln,F1,Renewal,GuangZhou,CE,Clear,2024-12-02,2025-02-04,64
841870,Roma,H1,New,BeiJing,Chemistry,Clear,2024-12-02,2025-01-17,46
841879,USD20241202,F1,Renewal,HongKong,Mechanical Engineering,Clear,2024-12-02,2025-01-13,42
841894,SB广州使馆�,H1,Renewal,GuangZhou,CS,Pending,2024-12-02,0000-00-00,419
841946,keterw,F1,Renewal,Others,Neuroscienc,Clear,2024-12-02,2025-01-22,51
841948,qiuqiulewuhan,F1,Renewal,Others,Statistics,Clear,2024-12-02,2025-01-24,53
841956,下签证吧球,F1,New,BeiJing,ECE,Clear,2024-12-02,2025-01-17,46
841958,Mikiyu,H1,New,ShangHai,Chemical Engineering,Pending,2024-12-02,0000-00-00,419
842032,shushu,F1,New,Others,EE,Clear,2024-12-02,2025-01-15,44
842043,CUI,J1,New,BeiJing,Biology,Pending,2024-12-02,0000-00-00,419
842061,求求了快点,F1,Renewal,ShangHai,CS PhD,Clear,2024-12-02,2025-01-22,51
842099,Best wishes,F1,Renewal,ShenYang,CS PhD,Pending,2024-12-02,0000-00-00,419
842120,HelloWorld,F1,Renewal,ShangHai,N/A,Clear,2024-12-02,2025-01-17,46
842125,plz,F1,Renewal,BeiJing,Physics (STEM-OPT),Clear,2024-12-02,2025-01-21,50
842127,raft,H1,New,GuangZhou,ECE,Clear,2024-12-02,2025-05-06,155
842160,GiveMeVISA,H1,New,GuangZhou,Bioinformatics,Clear,2024-12-02,2025-02-24,84
842261,别check我了�,F1,New,GuangZhou,Mathmatics,Clear,2024-12-02,2025-02-05,65
841654,Hello123,H1,Renewal,ShangHai,Chemical Engineering,Clear,2024-12-03,2025-01-27,55
841656,xixihaha1995,F1,Renewal,BeiJing,PhD Civil Engineering,Clear,2024-12-03,2025-01-10,38
841671,cba,H1,Renewal,Others,Applied Math and Physics,Pending,2024-12-03,0000-00-00,418
841705,Gogogo,B1,New,GuangZhou,CS,Clear,2024-12-03,2025-01-17,45
841813,conan667,B1,New,HongKong,Physics,Clear,2024-12-03,2025-01-06,34
841867,球球了,F1,Renewal,BeiJing,Biology,Clear,2024-12-03,2025-01-09,37
841972,wuhanapproveplz,F1,New,Others,HCI,Clear,2024-12-03,2025-01-24,52
841998,ggggg,H1,New,Others,CS,Clear,2024-12-03,2025-02-18,77
842028,tianyu,B2,Renewal,ShangHai,ECE,Clear,2024-12-03,2025-01-15,43
842055,晴天求过！,H1,New,Calgary,Data Analytics Engineerin,Pending,2024-12-03,0000-00-00,418
841665,晕厥,B1,New,ShangHai,Transportation,Pending,2024-12-04,0000-00-00,417
841672,h1b求求求快,H1,New,GuangZhou,CS,Clear,2024-12-04,2025-02-06,64
841685,chaochn47,H1,Renewal,ShangHai,CS,Clear,2024-12-04,2025-02-24,82
841735,糖衣,H1,Renewal,BeiJing,CS,Clear,2024-12-04,2025-01-16,43
841796,luluyang,H1,New,GuangZhou,Computer Science,Clear,2024-12-04,2025-01-17,44
841808,lidiang2507,H1,New,GuangZhou,ECE,Clear,2024-12-04,2025-02-05,63
841856,chemchem,H1,New,GuangZhou,Biochem,Clear,2024-12-04,2025-01-13,40
841888,robinwwc,H1,Renewal,HongKong,N/A,Clear,2024-12-04,2025-01-28,55
841932,zmfree,H1,New,Others,chemical engineering,Clear,2024-12-04,2025-01-13,40
841939,BOS1231,H1,Renewal,GuangZhou,Mol Biology,Clear,2024-12-04,2025-01-10,37
841960,早点出签,H1,Renewal,GuangZhou,Info science,Pending,2024-12-04,0000-00-00,417
842017,ainxinze,H1,Renewal,ShenYang,Chemical Engineering,Clear,2024-12-04,2025-02-04,62
842068,所有人都Ius,F1,Renewal,ShangHai,Electrical and Computer E,Clear,2024-12-04,2025-01-15,42
842082,SB香港白楠,H1,Renewal,HongKong,Computer Science,Pending,2024-12-04,0000-00-00,417
842090,DuckGo,H1,Renewal,ShangHai,Bio,Clear,2024-12-04,2025-01-17,44
842093,求求求求求,F1,Renewal,HongKong,CS,Pending,2024-12-04,0000-00-00,417
842103,ISSCC,B1,New,BeiJing,EE,Clear,2024-12-04,2025-02-06,64
841676,249***@qq.com,F1,Renewal,ShangHai,Software Engineering,Clear,2024-12-05,2025-01-10,36
841677,放我回家,H1,New,GuangZhou,Quantitative Method,Pending,2024-12-05,0000-00-00,416
841686,刚刚好,F1,Renewal,ShangHai,Chemistry,Clear,2024-12-05,2024-12-18,13
841694,swqs1989,F1,New,Others,Bioinformatics,Clear,2024-12-05,2025-02-04,61
841721,祝君过！,H1,New,GuangZhou,CS,Clear,2024-12-05,2025-01-24,50
841771,terencebetter,H1,Renewal,BeiJing,EE,Pending,2024-12-05,0000-00-00,416
841851,zhxunynn,H1,New,ShangHai,Computer Science,Clear,2024-12-05,2025-01-07,33
841901,silverlining,F1,Renewal,Others,Bioinformatics,Clear,2024-12-05,2025-02-10,67
841962,Checkeeid,F1,Renewal,ShangHai,BME,Clear,2024-12-05,2025-01-16,42
841974,求顺利过签,F1,Renewal,GuangZhou,Bioengineering,Clear,2024-12-05,2025-02-21,78
841692,搞快点吧,H1,Renewal,GuangZhou,CS,Clear,2024-12-06,2025-02-25,81
841702,sun***@gmail.co,J1,Renewal,ShangHai,Microbiology,Clear,2024-12-06,2025-01-13,38
841719,yyy,H1,Renewal,ShangHai,N/A,Pending,2024-12-06,0000-00-00,415
841743,速速下签！,F1,Renewal,BeiJing,Mechanical Engineering,Pending,2024-12-06,0000-00-00,415
841763,fayee,F1,New,ShangHai,Earth & Environmental Sci,Clear,2024-12-06,2025-01-15,40
841778,luckvisah1b,H1,New,Others,CS,Clear,2024-12-06,2025-02-25,81
841833,zbjmdx,H1,New,BeiJing,PHYSICS,Pending,2024-12-06,0000-00-00,415
841844,焦虑得要死,H1,New,Others,polymer,Pending,2024-12-06,0000-00-00,415
841898,求过求过,H1,New,Vancouver,EECS,Clear,2024-12-06,2025-01-08,33
841952,AizuBakery,B2,New,BeiJing,Control Science,Clear,2024-12-06,2025-01-27,52
841999,求求快点过,F1,Renewal,BeiJing,Computer Engineering Phd,Clear,2024-12-06,2025-02-04,60
842038,12345,H1,New,Vancouver,CS,Clear,2024-12-06,2025-01-14,39
842066,AA00E106LD,H1,New,GuangZhou,N/A,Pending,2024-12-06,0000-00-00,415
842067,签证过过过,F1,Renewal,HongKong,Aerospace/Mechanical,Clear,2024-12-06,2025-01-27,52
842083,避开广州18�,H1,New,GuangZhou,CS,Pending,2024-12-06,0000-00-00,415
842210,求求快点过,J1,Renewal,BeiJing,CS,Clear,2024-12-06,2025-02-04,60
842252,guoguogou,H1,New,Others,Civil Engineering,Pending,2024-12-06,0000-00-00,415
842257,过签,F1,Renewal,BeiJing,ChemE,Clear,2024-12-06,2025-02-05,61
841728,andromeda,H1,New,Toronto,Robotics,Clear,2024-12-09,2025-02-03,56
841790,花生生,O1,New,ShangHai,CS/AI,Clear,2024-12-09,2025-01-10,32
841701,求过我要去,B1,New,Others,Data Science,Clear,2024-12-09,2025-02-21,74
841704,求过,H1,New,BeiJing,Chem,Pending,2024-12-09,0000-00-00,412
841706,锦鲤祈福,J1,New,ShangHai,Bio,Clear,2024-12-09,2025-01-08,30
841710,qiuqiule,F1,Renewal,ShangHai,Chemistry,Clear,2024-12-09,2025-01-17,39
841715,zhongzzy9,H1,New,GuangZhou,CS,Clear,2024-12-09,2025-02-04,57
841727,再也不想在,B2,New,Others,CompBio & Bioinfo,Pending,2024-12-09,0000-00-00,412
841729,等签证的流,H1,New,Toronto,Geography,Clear,2024-12-09,2025-01-15,37
841736,佛,H1,New,ShangHai,ME,Pending,2024-12-09,0000-00-00,412
841737,micevan,J1,New,BeiJing,Physics,Clear,2024-12-09,2025-02-05,58
841836,edayaxin,F1,Renewal,HongKong,CS (robotics),Clear,2024-12-09,2025-01-21,43
841852,球球了,J1,New,ShangHai,CS,Pending,2024-12-09,0000-00-00,412
841937,kinzoily,H1,New,ShangHai,Chemistry,Pending,2024-12-09,0000-00-00,412
841955,hanyiiii_why,F1,Renewal,GuangZhou,bioinformatics,Pending,2024-12-09,0000-00-00,412
841975,Double666,H1,New,Others,Chemical Engineering,Clear,2024-12-09,2025-01-31,53
841976,H1BTurtle,H1,New,Others,ECE,Clear,2024-12-09,2025-02-05,58
841979,Qiuqiuqiu,O1,New,BeiJing,pharm,Clear,2024-12-09,2025-01-25,47
841993,bestwishes,J1,New,BeiJing,CS,Clear,2024-12-09,2025-01-21,43
841997,kenavalanche,H1,New,GuangZhou,Software Engineering,Pending,2024-12-09,0000-00-00,412
842042,H1B快点过球,H1,New,BeiJing,Chemistry,Clear,2024-12-09,2025-02-05,58
842080,xiaqian,B1,New,GuangZhou,N/A,Pending,2024-12-09,0000-00-00,412
842087,猫城记签证,F1,Renewal,ShangHai,Chemistry,Clear,2024-12-09,2025-02-03,56
842114,AA00E0Y9JB,H1,New,BeiJing,Biology,Pending,2024-12-09,0000-00-00,412
842118,approved666,F1,Renewal,HongKong,ECE,Clear,2024-12-09,2025-01-21,43
842137,MasterDhartha,H1,New,ShangHai,Chemistry,Clear,2024-12-09,2025-01-17,39
842144,下签吧求求,F1,Renewal,Others,CS PhD,Clear,2024-12-09,2025-01-27,49
842174,BeActive,H1,New,BeiJing,Physics,Clear,2024-12-09,2025-02-12,65
842203,求求让我回,F1,Renewal,Others,CS,Clear,2024-12-09,2025-02-14,67
842208,啊啊啊啊啊,H1,New,ShenYang,CS,Clear,2024-12-09,2025-02-03,56
842209,ericlee,H1,Renewal,GuangZhou,CS,Clear,2024-12-09,2025-02-05,58
842216,oaiewrjogia,F1,Renewal,Vancouver,CS,Clear,2024-12-09,2025-01-16,38
842246,又被check,F1,Renewal,GuangZhou,CS PHD,Clear,2024-12-09,2025-02-04,57
842276,JJMM,H1,New,ShangHai,ME,Clear,2024-12-09,2025-02-07,60
842393,dddwww,J1,New,Others,Bioinformatics,Clear,2024-12-09,2025-05-16,158
842424,终于过了,F1,Renewal,BeiJing,Chemistry PhD,Clear,2024-12-09,2025-02-20,73
841733,jswxxdd,F1,Renewal,ShangHai,mechanical engineering,Clear,2024-12-10,2024-12-20,10
841740,ycy,H1,New,BeiJing,MLE,Clear,2024-12-10,2025-02-05,57
841742,下签小猫,F1,Renewal,HongKong,Bioengineering,Clear,2024-12-10,2024-12-12,2
841755,DK,F1,Renewal,BeiJing,CS PhD,Clear,2024-12-10,2025-02-03,55
841769,急急如律令,H1,New,BeiJing,CS,Clear,2024-12-10,2025-02-05,57
841782,速速下签吧,H1,New,ShangHai,EE,Clear,2024-12-10,2025-02-07,59
